Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"tap(findTestObject(""Object Repository/page_Category/android.widget.button-Add-New-Category""), 0)",,,,14-09-2024 12:36:09,14-09-2024 12:36:10,0.392s,PASSED
"setText(findTestObject(""Object Repository/page_Category/android.widget.input_Category""), newCategory, 0)",,,,14-09-2024 12:36:10,14-09-2024 12:36:13,3.310s,PASSED
"tap(findTestObject(""Object Repository/page_Category/android.widget.button-Add""), 0)",,,,14-09-2024 12:36:13,14-09-2024 12:36:14,1.262s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,14-09-2024 12:36:14,14-09-2024 12:36:19,5.005s,PASSED
closeApplication(),,,,14-09-2024 12:36:19,14-09-2024 12:36:23,3.570s,PASSED
,,,,,,,
Test Cases/Category/Update Category,,,,14-09-2024 12:36:23,14-09-2024 12:37:16,53.152s,PASSED
"startApplication(apk, true)",,,,14-09-2024 12:36:23,14-09-2024 12:37:00,36.636s,PASSED
"tap(findTestObject(""page_Dashboard/android.widget.TextView - Skip""), 0)",,,,14-09-2024 12:37:00,14-09-2024 12:37:02,1.713s,PASSED
"verifyElementVisible(findTestObject(""page_Dashboard/android.widget.lbl_ToDo""), 0)",,,,14-09-2024 12:37:02,14-09-2024 12:37:03,1.713s,PASSED
"tap(findTestObject(""page_Dashboard/android.widget.button-Menu""), 0)",,,,14-09-2024 12:37:03,14-09-2024 12:37:04,0.208s,PASSED
"tap(findTestObject(""page_Category/android.widget.menu-Category""), 0)",,,,14-09-2024 12:37:04,14-09-2024 12:37:05,1.150s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/page_Category/android.widget.lbl_Category""), 0)",,,,14-09-2024 12:37:05,14-09-2024 12:37:06,1.490s,PASSED
"tap(findTestObject(""Object Repository/page_Category/android.widget.btn_Edit""), 0)",,,,14-09-2024 12:37:06,14-09-2024 12:37:07,0.504s,PASSED
"setText(findTestObject(""Object Repository/page_Category/android.widget.EditText - Personal""), updateCategory, 0)",,,,14-09-2024 12:37:07,14-09-2024 12:37:10,3.367s,PASSED
